Countries,2000,2005,2010,2015
Albania,134,74,43,26
Australia,165,135,104,79
Bangladesh,15831,12821,10470,8303
Brazil,5576,3987,2976,2671
Burundi,1380,1842,2081,2161
Canada,154,125,142,123
Chile,288,149,144,101
China,90947,54685,38856,27372
Colombia,1377,1290,1001,597
Dominican Republic,457,460,461,442
Ecuador,748,593,535,462
Ethiopia,16671,14959,13889,13428
Fiji,48,46,57,63
Germany,289,202,168,131
Guatemala,1516,1396,1225,1178
Haiti,1637,1452,36234,1378
India,79558,69600,55167,40875
Kenya,5288,5272,5130,5166
Mexico,5395,4548,3038,2942
Morocco,1610,1294,1246,1269
New Zealand,50,55,63,42
Nigeria,27613,29276,34599,40374
Philippines,6016,5433,5195,5775
Poland,225,163,109,79
Russian Federation,2492,2008,1820,1546
Saudi Arabia,942,735,652,528
Serbia,74,26,33,25
Solomon Islands,28,30,36,35
South Africa,3426,3523,3924,3912
Uganda,5390,5907,5910,5952
Ukraine,517,414,371,245
United States of America,3761,3558,3640,3318
