Countries,2015,2010,2005,2000
Albania,87,96,147,258
Australia,249,280,343,271
Bangladesh,20859,27879,36964,46046
Brazil,8656,12211,18086,28943
Burundi,3449,3584,3676,3604
Canada,606,625,612,526
Chile,509,618,582,656
China,31132,49955,72666,93250
Colombia,2493,3094,3842,5166
Dominican Republic,1737,1901,1965,2258
Ecuador,1160,1450,1727,2138
Ethiopia,28950,29312,32824,38668
Fiji,74,76,84,73
Germany,756,823,1070,1156
Guatemala,1820,2076,2430,2804
Haiti,2834,3200,3170,3065
India,311293,361563,406217,442544
Kenya,10286,10799,11368,12455
Mexico,6762,7767,8768,12656
Morocco,4077,5004,5681,6549
New Zealand,98,94,88,93
Nigeria,86048,82108,78866,80700
Philippines,11458,12940,14443,14614
Poland,686,810,811,926
Russian Federation,3126,3505,4281,5550
Saudi Arabia,1246,1695,2114,2601
Serbia,265,328,319,464
Solomon Islands,54,62,66,63
South Africa,6143,6996,7945,8443
Uganda,11320,12219,12071,12404
Ukraine,1118,1457,1595,1905
United States of America,7405,8016,9709,9211
