Countries,2015,2010,2005,2000
Albania,8,10,14,27
Australia,10,22,30,38
Bangladesh,12786,17819,25087,32712
Brazil,3909,4852,7205,9464
Burundi,1604,1726,1522,1370
Canada,59,49,52,47
Chile,84,66,63,89
China,2611,2907,3231,4986
Colombia,976,876,1384,1134
Dominican Republic,608,667,648,517
Ecuador,224,268,318,399
Ethiopia,16560,20505,20967,16955
Fiji,18,18,20,15
Germany,43,52,62,70
Guatemala,962,1142,1294,1490
Haiti,1169,1229,960,948
India,81239,114058,148030,174773
Kenya,4737,5271,5351,5200
Mexico,2635,2713,2754,3997
Morocco,1635,2117,2430,2523
New Zealand,11,12,10,5
Nigeria,31209,33618,30137,25945
Philippines,4447,4109,4247,4520
Poland,33,87,171,208
Russian Federation,418,497,758,1040
Saudi Arabia,175,271,377,505
Serbia,11,9,38,69
Solomon Islands,22,26,26,24
South Africa,1825,2234,2301,2544
Uganda,6226,6332,5806,4903
Ukraine,107,163,226,278
United States of America,712,705,977,894
