Countries,2015,2010,2005,2000
Albania,0,0,0,2
Australia,0,0,0,0
Bangladesh,6,2939,19117,12952
Brazil,0,0,0,0
Burundi,34,73,120,2043
Canada,0,0,0,0
Chile,0,0,0,0
China,1104,843,3070,1956
Colombia,0,0,0,0
Dominican Republic,0,0,0,0
Ecuador,0,0,0,0
Ethiopia,21716,11292,10402,19335
Fiji,0,0,5,8
Germany,1,0,0,1
Guatemala,0,0,0,0
Haiti,0,0,0,0
India,32742,49648,57723,74596
Kenya,180,166,299,1575
Mexico,0,0,0,0
Morocco,0,7,43,57
New Zealand,0,0,0,0
Nigeria,16186,10558,111107,155928
Philippines,510,354,227,88
Poland,0,0,0,0
Russian Federation,0,0,0,0
Saudi Arabia,0,1,2,17
Serbia,0,0,0,0
Solomon Islands,0,0,0,0
South Africa,292,2137,249,384
Uganda,267,143,87,11862
Ukraine,32,32,15,13
United States of America,0,0,2,2
