Country,2000,2005,2010,2015
Albania,5668.5747772673485,7733.006932655,9927.18184117512,10970.4522447693
Australia,35377.729551754,38928.0407567854,41464.0400696359,43923.2582693466
Bangladesh,1641.95876843278,1929.9387433968107,2442.72888765696,3132.56754015214
Brazil,11370.970939251001,12298.5879484653,14537.5671930903,14702.5912680317
Burundi,754.0962802125031,724.160012349081,763.831930213843,748.415271266666
Canada,37431.9169780243,40471.2605251176,40699.3551293841,43149.4758370305
Chile,14315.4260570701,17007.5798219092,19442.0503154635,22516.6078575125
China,3700.74364786842,5719.455365995389,9525.81848339164,13569.8915267324
Colombia,8308.22294990052,9263.73017273061,10900.505282161601,12985.383134526599
Dominican Republic,8200.378426767991,9011.51214795477,11132.5526905467,13395.916802055
Ecuador,7387.6158791890575,8607.765408626079,9352.34423681593,10749.1288738874
Ethiopia,618.242218671925,732.3804984716402,1073.8262950688302,1533.1076319997305
Fiji,6673.84739081023,7426.778763273929,7352.08836002372,8477.64472981588
Germany,36764.5629268974,37703.9329399406,40428.7210307617,43937.9471317278
Guatemala,6070.72005986777,6269.1555847706395,6714.0635955465,7292.71910386634
Haiti,1739.39251966254,1561.96045078811,1502.03271141224,1651.22844549164
India,2495.04663284869,3178.82872375265,4404.69700530387,5756.66466489307
Kenya,2132.16189654978,2224.03100052712,2476.01074216401,2835.99661032872
Mexico,15682.8121696877,15791.537030606001,15715.9721449501,16938.6054057995
Morocco,4483.808406354749,5361.662834192261,6443.25361319481,7296.9344014319095
New Zealand,27620.4728000552,31351.835921499198,32119.2155430773,35309.8237244851
Nigeria,2848.1505199991907,4149.277997492321,5150.158818227629,5670.63944311027
Philippines,4224.11322578601,4778.97121990362,5596.83728794962,6874.58256551739
Poland,14732.481997551398,17193.5237317708,21770.6444359772,25299.9743484897
Russia,14050.8513351861,19325.9357374432,23107.7852212759,24516.5499502712
Saudi Arabia,43071.4498323186,45538.4979692735,45421.2284797446,50723.7126450691
Serbia,7984.836247265391,10900.912413629001,12688.124289874098,13277.8001173574
Solomon Islands,1816.73478329324,1680.50647819996,1871.36935209356,2149.22163239839
South Africa,9538.96850314807,10783.1949595734,11887.8050343927,12377.6592598329
Uganda,1049.77862479986,1222.7032158823,1515.8664115212805,1665.9499053310199
Ukraine,4797.380276997321,7246.35102662269,7824.49845171438,7464.939833592941
United States,45986.0527103166,49762.237901361914,49374.178885179695,53005.6361464627
