,"2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
,"Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths"
,"Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity","Prematurity"
"Country","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years"
"Afghanistan","13753","1190","14943","14076","1242","15317","14308","1309","15617","14659","1343","16001","15121","1365","16486","15460","1488","16948","15461","1570","17032","15153","1625","16778","14883","1629","16513","14756","1637","16393","14576","1653","16229","14228","1680","15908","14114","1706","15820","14403","1721","16125","14938","1733","16671","15435","1746","17181","15909","1726","17635","16141","1688","17829"
"Albania","85","3","88","85","3","88","84","4","87","82","4","86","82","4","86","83","4","87","86","4","91","91","5","96","97","5","103","105","4","109","115","4","120","128","5","132","142","5","147","159","6","165","179","7","186","200","8","208","223","9","232","247","11","258"
"Algeria","4240","457","4697","4407","470","4878","4534","477","5010","4635","477","5112","4711","472","5183","4757","462","5220","4845","451","5296","4978","441","5418","5150","430","5581","5236","418","5654","5243","405","5648","5184","400","5584","5149","402","5550","5138","409","5547","5160","419","5579","5173","434","5607","5186","451","5637","5216","471","5686"
"Andorra","1","0","1","1","0","1","1","1","2","1","1","2","1","1","2","1","0","1","1","0","1","1","1","2","1","1","2","1","1","2","1","1","2","1","1","2","1","1","2","1","1","2","1","1","2","1","1","2","1","1","2","2","1","3"
"Angola","9809","1709","11518","9841","1761","11602","10019","1821","11840","10276","1843","12118","10641","1827","12468","10995","1885","12880","11187","1964","13151","11221","2048","13269","11196","2114","13310","11347","2161","13508","11556","2172","13728","11748","2145","13893","11862","2121","13983","12041","2099","14140","12124","2106","14230","12159","2111","14270","12066","2066","14132","11887","2039","13926"
"Antigua and Barbuda","2","0","2","2","0","2","2","0","2","2","1","3","3","0","3","3","0","4","3","0","3","3","0","3","2","0","2","2","0","2","4","1","4","5","1","6","8","1","8","5","0","6","6","0","7","7","1","8","8","1","8","7","1","8"
