Country,Year,GDP per Capita
Albania,2000,5668.574777267349
Albania,2005,7733.006932655
Albania,2010,9927.181841175121
Albania,2015,10970.4522447693
Australia,2000,35377.729551754
Australia,2005,38928.0407567854
Australia,2010,41464.0400696359
Australia,2015,43923.2582693466
Bangladesh,2000,1641.95876843278
Bangladesh,2005,1929.9387433968102
Bangladesh,2010,2442.72888765696
Bangladesh,2015,3132.56754015214
Brazil,2000,11370.970939251001
Brazil,2005,12298.5879484653
Brazil,2010,14537.5671930903
Brazil,2015,14702.5912680317
Burundi,2000,754.0962802125031
Burundi,2005,724.160012349081
Burundi,2010,763.831930213843
Burundi,2015,748.415271266666
Canada,2000,37431.9169780243
Canada,2005,40471.2605251176
Canada,2010,40699.3551293841
Canada,2015,43149.4758370305
Chile,2000,14315.4260570701
Chile,2005,17007.5798219092
Chile,2010,19442.0503154635
Chile,2015,22516.6078575125
China,2000,3700.7436478684203
China,2005,5719.455365995389
China,2010,9525.81848339164
China,2015,13569.8915267324
Colombia,2000,8308.22294990052
Colombia,2005,9263.73017273061
Colombia,2010,10900.505282161601
Colombia,2015,12985.383134526599
Dominican Republic,2000,8200.378426767991
Dominican Republic,2005,9011.51214795477
Dominican Republic,2010,11132.5526905467
Dominican Republic,2015,13395.916802055
Ecuador,2000,7387.615879189058
Ecuador,2005,8607.765408626079
Ecuador,2010,9352.34423681593
Ecuador,2015,10749.1288738874
Ethiopia,2000,618.242218671925
Ethiopia,2005,732.3804984716401
Ethiopia,2010,1073.8262950688302
Ethiopia,2015,1533.1076319997303
Fiji,2000,6673.84739081023
Fiji,2005,7426.778763273929
Fiji,2010,7352.08836002372
Fiji,2015,8477.64472981588
Germany,2000,36764.5629268974
Germany,2005,37703.9329399406
Germany,2010,40428.7210307617
Germany,2015,43937.9471317278
Guatemala,2000,6070.72005986777
Guatemala,2005,6269.1555847706395
Guatemala,2010,6714.0635955465
Guatemala,2015,7292.71910386634
Haiti,2000,1739.39251966254
Haiti,2005,1561.96045078811
Haiti,2010,1502.03271141224
Haiti,2015,1651.22844549164
India,2000,2495.04663284869
India,2005,3178.82872375265
India,2010,4404.69700530387
India,2015,5756.66466489307
Kenya,2000,2132.16189654978
Kenya,2005,2224.03100052712
Kenya,2010,2476.01074216401
Kenya,2015,2835.99661032872
Mexico,2000,15682.8121696877
Mexico,2005,15791.537030606001
Mexico,2010,15715.9721449501
Mexico,2015,16938.6054057995
Morocco,2000,4483.808406354749
Morocco,2005,5361.662834192261
Morocco,2010,6443.25361319481
Morocco,2015,7296.9344014319095
New Zealand,2000,27620.4728000552
New Zealand,2005,31351.835921499198
New Zealand,2010,32119.2155430773
New Zealand,2015,35309.8237244851
Nigeria,2000,2848.1505199991902
Nigeria,2005,4149.2779974923205
Nigeria,2010,5150.158818227629
Nigeria,2015,5670.63944311027
Philippines,2000,4224.11322578601
Philippines,2005,4778.97121990362
Philippines,2010,5596.83728794962
Philippines,2015,6874.58256551739
Poland,2000,14732.481997551398
Poland,2005,17193.5237317708
Poland,2010,21770.6444359772
Poland,2015,25299.9743484897
Russia,2000,14050.8513351861
Russia,2005,19325.9357374432
Russia,2010,23107.7852212759
Russia,2015,24516.5499502712
Saudi Arabia,2000,43071.4498323186
Saudi Arabia,2005,45538.4979692735
Saudi Arabia,2010,45421.2284797446
Saudi Arabia,2015,50723.7126450691
Serbia,2000,7984.836247265391
Serbia,2005,10900.912413629001
Serbia,2010,12688.124289874098
Serbia,2015,13277.8001173574
Solomon Islands,2000,1816.7347832932398
Solomon Islands,2005,1680.50647819996
Solomon Islands,2010,1871.36935209356
Solomon Islands,2015,2149.22163239839
South Africa,2000,9538.96850314807
South Africa,2005,10783.1949595734
South Africa,2010,11887.8050343927
South Africa,2015,12377.6592598329
Uganda,2000,1049.77862479986
Uganda,2005,1222.7032158823
Uganda,2010,1515.8664115212803
Uganda,2015,1665.9499053310199
Ukraine,2000,4797.380276997321
Ukraine,2005,7246.35102662269
Ukraine,2010,7824.49845171438
Ukraine,2015,7464.939833592941
United States,2000,45986.0527103166
United States,2005,49762.23790136191
United States,2010,49374.178885179695
United States,2015,53005.6361464627
